feature,ios,android,ROM GB,RAM GB,5G,price
Apple iPhone 13 (128GB) - Starlight,1,0,128,4,0,59900
Apple iPhone 14 Plus (128 GB) - (Product) RED,1,0,128,6,0,79900
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,0,1,128,6,1,17999
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,128,6,0,13999
"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",0,1,128,4,1,14999
"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",0,1,128,8,0,13999
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | Qualcomm Snapdragon 4 Gen 1 Processor | 120Hz FHD+ Display | Travel Adaptor Included in The Box",0,1,128,6,1,19999
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,4,1,13999
"Redmi 13C 5G (Startrail Green,6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,6,1,15999
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",0,1,128,8,1,134900
Apple iPhone 15 Pro (128 GB) - Blue Titanium,1,0,128,6,0,10999
"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,64,4,0,11999
"Redmi 13C (Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,128,4,0,28499
"Samsung Galaxy M34 5G (Prism Silver,8GB,256GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger",0,1,256,6,1,12999
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",0,1,128,8,1,15999
"realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,128,6,0,13999
itel S23+| 3D Curved Amoled Display| 16GB* RAM+256GB ROM| in-Display Fingerprint| 50MP AI Dual Rear + 32MP Front Camera| 5000mAh Battery| 2 Years Warranty| Lake Cyan,0,1,256,16,0,13999
"POCO C55 (Cool Blue, 6GB RAM, 128GB Storage)",0,1,128,6,0,7799
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,4,1,159900
"TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor",0,1,64,8,0,99900
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,1,0,256,6,0,1299
Apple iPhone 13 (128GB) - Green,1,0,128,4,0,3599
Apple iPhone 15 Pro (128 GB) - Natural Titanium,1,0,128,6,0,2599
"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",0,1,128,6,1,3999
"POCO C55 (Cool Blue, 4GB RAM, 64GB Storage)",0,1,64,4,0,69900
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,0,1,128,6,1,134900
"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone",0,1,256,8,1,23999
"Redmi 13C (Stardust Black, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,256,8,0,11999
"vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",0,1,128,6,0,16499
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",0,1,128,6,1,27999
"Redmi 13C 5G (Startrail Silver, 6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",0,1,128,6,1,15999
Apple iPhone 14 Plus (128 GB) - Midnight,1,0,128,6,0,18999
"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,64,4,0,19999
"POCO C55 (Forest Green, 4GB RAM, 64GB Storage)",0,1,64,4,0,15999
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",0,1,128,4,0,79900
"TECNO Spark GO 2024 (Gravity Black,8GB* RAM, 64GB ROM)| Segment First 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS| 5000mAh| 10W Type-C| Fingerprint Sensor| Octa-Core Processor",0,1,64,8,0,10999
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Grey,0,1,128,6,1,11999
"POCO C55 (Power Black, 4GB RAM, 64GB Storage)",0,1,64,4,0,13499
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",0,1,64,8,0,8499
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue",0,1,128,12,0,15999
"Lava Storm 5G (Gale Green, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android",0,1,128,8,1,11999
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,1,0,256,6,0,14999
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Starlish Black",0,1,128,12,0,9999
Apple iPhone 13 (256GB) - (Product) RED,1,0,256,4,0,10999
Apple iPhone 15 Pro (1 TB) - White Titanium,1,0,256,6,0,10999
"Xiaomi Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)",0,1,128,8,0,79900
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",0,1,64,8,0,184900
"Lava Blaze 2 5G (Glass Blue, 6GB RAM, 128GB Storage)| Stunning Ring Light| 50 MP AI Camera |5000 mAh Battery| Upto 12 GB Expandable RAM",0,1,128,6,1,18999
"TECNO Spark 9T (Atlantic Blue, 4GB RAM,64GB Storage) | 50MP SuperNight Triple Camera | 18W Flash Charger",0,1,64,4,0,14999
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,128,6,0,12499
"realme narzo 50 5G (Hyper Blue, 4GB RAM+64GB Storage) Dimensity 810 5G Processor | 48MP Ultra HD Camera",0,1,64,4,1,12499
"Redmi Note 12 (Sunrise Gold, 6GB RAM, 64GB Storage)",0,1,64,6,0,13999
"OPPO A18 (Glowing Blue, 4GB RAM, 64GB Storage) | 6.56"" HD 90Hz Waterdrop Display | 5000 mAh Battery with No Cost EMI/Additional Exchange Offers",0,1,64,4,0,17999
Apple iPhone 14 Plus (256 GB) - (Product) RED,1,0,256,6,0,18999
"realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,128,6,0,14999
"Samsung Galaxy M34 5G (Waterfall Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",0,1,128,12,1,89900
"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 128GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Charcoal",0,1,128,4,0,12999
"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 128GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Breezy Mint",0,1,128,4,0,24499
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Starlish Black",0,1,128,12,0,10999
"POCO M6 5G (Orion Blue, 4GB RAM, 128GB Storage)",0,1,128,4,1,10999
Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Purple,0,1,128,6,1,9999
"TECNO Pova 5 Pro 5G (Silver Fantasy, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera |6.78”FHD+ Dot-in Display",0,1,256,8,1,12999
"Redmi 12C (Mint Green, 6GB RAM, 128GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",0,1,128,6,0,15999
"Lava Storm 5G (Thunder Black, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android",0,1,128,8,1,16990
"Motorola razr 40 Ultra (Peach Fuzz, 8GB RAM, 256GB Storage) | 3.6"" External AMOLED Display | 6.9"" AMOLED 165Hz Display | 32MP Selfie Camera |30W TurboPower Charging | Android 13",0,1,256,8,0,15999
Apple iPhone 13 (256GB) - Pink,1,0,256,4,0,2599
"Motorola G54 5G (Mint Green, 12GB RAM, 256GB Storage) | MediaTek Dimensity 7020 Processor | 6000mAh Battery with 30W Turbocharging | 50 MP OIS Camera with UltraPixel Technology | 6000 mAh Battery",0,1,256,12,1,3999
"Motorola e13 (Aurora Green, 4GB RAM 64GB Storage)",0,1,64,4,0,184900
"Motorola G54 5G (Pearl Blue, 12GB RAM, 256GB Storage) | MediaTek Dimensity 7020 Processor | 6000mAh Battery with 30W Turbocharging | 50 MP OIS Camera with UltraPixel Technology | 6000 mAh Battery",0,1,256,12,1,69900
"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",0,1,128,4,0,10999
"realme C51 (Mint Green, 4GB RAM, 128GB Storage) | Upto 8GB Dynamic RAM | 7.99 mm Stylish Glittery Design | Mini Capsule | Unisoc T612 Processor | 5000mAh Battery 33W SUPERVOOC Charge|FingerprintSensor",0,1,128,4,0,11999
"itel A70 Smartphone | 12GB* RAM, 256GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Starlish Black",0,1,256,12,0,11999
"TECNO Camon 19 Neo (Dreamland Green, 6GB RAM, 128GB Storage)|48MP Super Night Rear Camera|32MP Selfie Camera",0,1,128,6,0,10999
"Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)| Octa-core Helio G35 | 5000 mAh Battery",0,1,64,4,0,18499
Apple iPhone 14 Plus (512 GB) - Starlight,1,0,512,6,0,10999
"Lava Storm 5G (Gale Green, 8GB RAM, 128GB ROM)|50MP+8MP Ultrawide Dual Camera|16MP FrontCamera|6.78"" FHD+ Punch Hole Display|5000 mAh Battery|33W Fast Charging|Upto 16GB ExpandableRAM|Clean Android",0,1,128,8,1,109900
"vivo Y28 5G (Crystal Purple, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",0,1,128,4,1,14999
"POCO C65 (Pastel Blue, 4GB RAM, 128GB Storage)",0,1,128,4,0,17999
"TECNO Spark 9 (Infinity Black, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor",0,1,64,4,0,10999
"iQOO Neo 7 5G (Interstellar Black, 8GB RAM, 128GB Storage) | Dimensity 8200, only 4nm Processor in The Segment| 50% Charge in 10 mins| Motion Control & 90 FPS Gaming",0,1,128,8,1,11499
"Lava Blaze 5G (Glass Blue, 6GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 11GB Expandable RAM | Charger Included | Clean Android (No Bloatware)",0,1,128,6,1,34999
"POCO M6 5G (Orion Blue, 8GB RAM, 256GB Storage)",0,1,256,8,1,16349
"Oppo A78 5G (Glowing Blue, 8GB RAM, 128 Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger| 50MP AI Camera | 90Hz Refresh Rate | with No Cost EMI/Additional Exchange Offers",0,1,128,8,1,15999
"Samsung Galaxy A15 5G (Blue Black, 8GB, 256GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery",0,1,256,8,1,21999
"TECNO Pova 5 Pro 5G (Dark Illusion, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera | 6.78”FHD+ Dot-in Display",0,1,256,8,1,24499
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Azure Blue",0,1,128,12,0,20999
Apple iPhone 15 Pro (128 GB) - White Titanium,1,0,128,6,0,134900
Apple iPhone 14 Plus (512 GB) - (Product) RED,1,0,512,6,0,109900
"Lava Blaze 5G (Glass Blue, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware)",0,1,128,8,1,16499
"Motorola E13 4G (Aurora Green, 8GB RAM, 128GB Storage) | Upto 1TB MicroSD Expandable | 6.5 Inch IPS LCD Display with 60Hz Refresh Rate | UNISOC T606 Processor | Face Unlock | IP52 Water Repellent",0,1,128,8,0,18999
"Motorola G32 (Satin Silver, 8GB RAM, 128GB Storage)",0,1,128,8,0,11999
POCO C65 6GB RAM 128GB Storage (Pastel Blue),0,1,128,6,0,12999
"realme narzo N53 (Feather Gold, 6GB+128GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",0,1,128,8,0,9999
"IKALL K510 Smartphone (2GB, 32GB, 4G Volte) (Purple)",0,1,32,2,0,11499
"Lava Blaze 2 5G (Glass Blue, 4GB RAM, 64GB Storage)| Stunning Ring Light| 50 MP AI Camera |5000 mAh Battery| Upto 8 GB Expandable RAM",0,1,64,4,1,169999
"Redmi New 3 (Light Blue, 2GB RAM, 32GB Storage)",0,1,32,2,0,12499
"Samsung Galaxy Z Fold5 5G (Cream, 12GB RAM, 512GB Storage)",0,1,512,12,1,7999
"Pova 5 Pro 5G (Dark Illusion, 8GB RAM,128GB Storage)| Segment 1st 68W Ultra Fast Charging | 50MP AI Dual Camera | India's 1st Multi-Colored Backlit ARC Interface | 6.78”FHD+ Dot-in Display",0,1,128,8,1,15999
"Samsung Galaxy A05 (Silver, 4GB, 64GB Storage) | 50 MP Main Camera | Upto 8GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",0,1,64,8,0,13499.01
"TECNO POP 7 Pro (Limpid Green, 2GB RAM,64GB Storage) | Type C Port | 12MP Dual Camera | Up to 4GB RAM with Memory Fusion",0,1,64,4,0,38999
"realme C55 (Sunshower 8GB RAM, 128GB Storage, Gold)",0,1,128,8,0,15999
itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Galaxy Blue,0,1,128,12,1,9999
"Oppo Reno10 5G (Ice Blue, 8GB RAM, 256GB Storage)",0,1,256,8,1,8499
"Redmi 12C (Royal Blue, 6GB RAM, 128GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",0,1,128,6,0,7499
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Brilliant Gold",0,1,128,12,0,13999
"itel A60s (4GB RAM + 64GB ROM, Up to 8GB RAM with Memory Fusion | 8MP AI Rear Camera | 5000mAh Battery with 10W Charging | Faceunlock & Fingerprint -Glacier Green",0,1,64,4,0,2199
Apple iPhone 15 Pro (512 GB) - Natural Titanium,1,0,512,6,0,10999
Apple iPhone 14 Plus (512 GB) - Midnight,1,0,512,6,0,10999
"IKALL K510 Smartphone (2GB, 32GB, 4G Volte) (Purple)",0,1,32,2,0,164900
"Lava Blaze 2 5G (Glass Blue, 4GB RAM, 64GB Storage)| Stunning Ring Light| 50 MP AI Camera |5000 mAh Battery| Upto 8 GB Expandable RAM",0,1,64,4,1,109900
"TECNO Pova 5 (Mecha Black, 8GB RAM,128GB Storage) | Segment 1st 45W Ultra Fast Charging | 6000mAh Big Battery | 50MP AI Dual Camera | 3D Textured Design | 6.78”FHD+ Display",0,1,128,8,0,9999
"Redmi New 3 (Light Blue, 2GB RAM, 32GB Storage)",0,1,32,2,0,11499
"Samsung Galaxy A05 (Silver, 4GB, 64GB Storage) | 50 MP Main Camera | Upto 8GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery",0,1,64,8,0,12990
